Price,Close,High,Low,Open,Volume
Ticker,005930.KS,005930.KS,005930.KS,005930.KS,005930.KS
Date,,,,,
2024-12-16,55600.0,56600.0,55200.0,56300.0,15277277
2024-12-17,54200.0,55200.0,54000.0,54700.0,20215230
2024-12-18,54900.0,55400.0,54000.0,54100.0,13698937
2024-12-19,53100.0,53800.0,53100.0,53500.0,22481925
2024-12-20,53000.0,53100.0,51900.0,52700.0,24674774
2024-12-23,53500.0,54000.0,53300.0,53400.0,13672650
2024-12-24,54400.0,54500.0,53600.0,53700.0,11634677
2024-12-26,53600.0,54600.0,53500.0,54500.0,10517075
2024-12-27,53700.0,54100.0,53200.0,53500.0,10747196
2024-12-30,53200.0,54000.0,53100.0,53300.0,12624702
